Number;Start time in milliseconds;End time in milliseconds;"Text"
248;768166,6667;769416,6667;"[sobs]"
249;772125;774125;"-[yelling]
-[hissing]"
250;775166,6667;777791,6667;"[Dryad] The waters of Brokilon are potent."
251;779291,6667;782291,6667;"All newcomers to the forest
must drink the waters."
252;783000;785750;"If they bear ill intent towards Brokilon,"
253;787125;787958,3334;"they die."
254;789333,3334;791750;"If they're pure in heart, they survive..."
255;792708,3334;793833,3334;"and may stay here."
256;794958,3334;797208,3334;"And over time, the waters of Brokilon"
257;797291,6667;800666,6667;"will lessen the suffering 
they have endured"
258;801375;802666,6667;"and make them forget."
259;803125;805375;"I think you'd like that. Am I right..."
260;806083,3334;806958,3334;"Fiona?"
261;808958,3334;812041,6667;"Because you're scared
of more than just war,"
262;812416,6667;813291,6667;"aren't you?"
263;814833,3334;816333,3334;"You will both drink the waters,"
264;817250;818625;"and all will be revealed."
265;821250;824125;"[growling] You lie, you little shite!"
266;824208,3334;826750;"You've never faced so much
as a bad meal in your life,"
267;826833,3334;828000;"never mind a manticore."
268;828083,3334;832833,3334;"[man] I've had manticores thrice as fat
and ugly as you perish under my steel!"
269;832916,6667;834541,6667;"[man 1] Under your bullshit, more like."
270;834625;836833,3334;"-How many stings has it got, then?
-Two."
271;837291,6667;838875;"Hah! Go away and shite!"
272;838958,3334;841166,6667;"-It's five. I know.
-Your Majesty, that's Geralt of Rivia."
273;841250;842291,6667;"I've actually killed one."
274;842375;843666,6667;"-You--
-[crowd yelling]"
275;843750;844750;"Enough!"
276;845416,6667;846416,6667;"[chuckles]"
277;846500;848666,6667;"We have a renowned guest here tonight."
278;851208,3334;854750;"Perhaps he can declare
which esteemed lord is telling the truth."
279;856958,3334;857833,3334;"[Geralt] Neither."
280;858416,6667;860750;"Are you calling me a liar, old man?"
281;860833,3334;861916,6667;"Aah!"
282;862000;865208,3334;"The Butcher of Blaviken
bleats utter nonsense."
283;865291,6667;866625;"[laughter]"
284;871958,3334;873791,6667;"Perhaps the lords encountered..."
285;874958,3334;877250;"rare subspecies of manticore."
286;877333,3334;878583,3334;"[murmuring]"
287;878666,6667;879541,6667;"Aye."
288;880083,3334;880958,3334;"[sighs]"
289;882916,6667;884541,6667;"[laughing]"
290;885541,6667;888541,6667;"Perhaps our esteemed guest would like
to entertain us"
291;888625;891208,3334;"with how he slayed the elves
at the edge of the world?"
292;891291,6667;893083,3334;"[laughter and cheering]"
293;894583,3334;895916,6667;"There was no slaying."
294;896833,3334;899416,6667;"I had my arse kicked
by a ragged band of elves."
295;899500;900375;"[groaning]"
296;901875;903750;"I was about to have my throat cut"
297;904416,6667;906000;"when Filavandrel let me go."
298;906375;908083,3334;"[jeering]"
299;908166,6667;909125;"But the song!"
300;909208,3334;910625;"Yeah, the song."
301;911125;915000;"At least when Filavandrel's blade
kissed my throat, I didn't shit myself."
302;916208,3334;918375;"Which is all I can hope for you,
good lords."
303;918750;920083,3334;"At your final breath,"
304;920791,6667;922208,3334;"a shitless death."
305;922291,6667;923916,6667;"[man] Not going to shit meself..."
306;924000;924833,3334;"But I doubt it."
307;924916,6667;926875;"[laughter]"
308;926958,3334;929458,3334;"It would have been your blade
at Filavandrel's throat"
309;929541,6667;930875;"had you been there, Your Majesty."
310;930958,3334;932083,3334;"[loud cheer]"
311;932166,6667;935583,3334;"Not that any elven bastard would crawl
from their lair to meet you on the field."
312;937750;941375;"Any man willing to paint himself
in the shadow of his failures"
313;941458,3334;944375;"will make for far more interesting
conversation this night."
314;945708,3334;946750;"Come, Witcher."
315;948208,3334;950291,6667;"Take a seat by my side while I change."
316;952041,6667;952875;"Hm."
317;952958,3334;954958,3334;"[Dryads conversing]"
318;962666,6667;964416,6667;"Why did she call you Fiona?"
319;970791,6667;973333,3334;"Mousesack, he... helped raise me and..."
320;974458,3334;977791,6667;"he warned me not to let anyone know
who I was outside the castle."
321;978416,6667;981000;"-And now, the Black Knight is after me.
-Castle?"
322;988750;990625;"I'm Princess Cirilla..."
323;991833,3334;993458,3334;"-of Cintra.
-[gasps]"
324;994916,6667;995916,6667;"What's the matter?"
325;997458,3334;999250;"Your grandmother slaughtered my family!"
326;999958,3334;1001541,6667;"No, that's not true."
327;1001625;1002625;"She ordered it."
328;1003416,6667;1005916,6667;"-After Filavandrel's uprising--
-She wouldn't do that."
329;1008583,3334;1009583,3334;"Her soldiers..."
330;1010833,3334;1012333,3334;"they laughed when they did it."
331;1013625;1015375;"Killing, raping..."
332;1017125;1018250;"They laughed the hardest"
333;1018333,3334;1020458,3334;"when they were swinging babies
from their legs,"
334;1020750;1022000;"smashing their heads in."
335;1025958,3334;1027291,6667;"I was the only one left."
336;1028625;1029625;"Because I hid."
337;1031208,3334;1032375;"I should've saved them."
338;1034125;1035166,6667;"Or fought and died."
339;1038250;1039125;"Uh..."
340;1039750;1042125;"-I don't know what to say.
-Say nothing."
341;1042875;1043875;"They're gone now."
342;1045791,6667;1047791,6667;"I would do anything to forget who I was."
343;1049083,3334;1050041,6667;"I can't."
344;1051041,6667;1052875;"I have to find my destiny."
345;1052958,3334;1055458,3334;"Why? Because your grandmother said
you should?"
346;1058000;1060458,3334;"Maybe you should start thinking
for yourself."
347;1061833,3334;1063000;"Because she is dead."
348;1064083,3334;1065125;"And you are here."
349;1070666,6667;1072291,6667;"[band playing]"
350;1074541,6667;1076291,6667;"Damn this cursed thing."
351;1077000;1079125;"I'd as soon see this night out in armor."
352;1079791,6667;1080916,6667;"As would I."
353;1081375;1082208,3334;"Indeed."
354;1083291,6667;1086583,3334;"Tell me, how does a witcher find himself
at my daughter's wedding feast"
355;1086666,6667;1088416,6667;"dressed like a... [laughs]"
356;1088708,3334;1091625;"I'm protecting the bard
from vengeful royal cuckolds."
357;1091708,3334;1092583,3334;"Hm!"
