index;season_no;episode_no;episode_name;Character;Text
129;1;1;A Grain of Truth;Geralt;Hm.
130;1;1;A Grain of Truth;Stregobor;I'd offer you my condolences, but...
131;1;1;A Grain of Truth;Stregobor;I seem to remember that witchers don't feel...
132;1;1;A Grain of Truth;Stregobor;anything.
133;1;1;A Grain of Truth;Stregobor;I'm grateful destiny brought you to me.
134;1;1;A Grain of Truth;Geralt;Marilka brought me to you.
135;1;1;A Grain of Truth;Stregobor;Oh, Marilka. Marilka works for me.
136;1;1;A Grain of Truth;Stregobor;Now and then.
137;1;1;A Grain of Truth;Stregobor;On matters of great import.
138;1;1;A Grain of Truth;Geralt;A reclusive sorcerer who uses an alias
139;1;1;A Grain of Truth;Geralt;and hires a young girl to procure him a witcher.
140;1;1;A Grain of Truth;Geralt;You don't want my monster.
141;1;1;A Grain of Truth;Geralt;You want me to kill yours.
142;1;1;A Grain of Truth;Stregobor;Very clever.
143;1;1;A Grain of Truth;Stregobor;Indeed.
144;1;1;A Grain of Truth;Geralt;What kind?
145;1;1;A Grain of Truth;Stregobor;The worst kind.
146;1;1;A Grain of Truth;Stregobor;The human kind.
147;1;1;A Grain of Truth;Stregobor;Its name is Renfri.
148;1;1;A Grain of Truth;Geralt;Hm.
149;1;1;A Grain of Truth;;[laughter]
150;1;1;A Grain of Truth;Martin;Damn it.
151;1;1;A Grain of Truth;;[sighs]
152;1;1;A Grain of Truth;Martin;Go on, Martin.
153;1;1;A Grain of Truth;Martin;Ah! Five.
154;1;1;A Grain of Truth;Martin;Yeah!
155;1;1;A Grain of Truth;Ciri;Not yet.
156;1;1;A Grain of Truth;Martin;There's no way you can get five.
157;1;1;A Grain of Truth;Ciri;You're not taking a bite of that bread before I try.
158;1;1;A Grain of Truth;;[distant clatter of hooves]
159;1;1;A Grain of Truth;Martin;Better throw those knuckles.
160;1;1;A Grain of Truth;Martin;Go on, then.
161;1;1;A Grain of Truth;;[hoofbeats approaching]
162;1;1;A Grain of Truth;;[laughter]
163;1;1;A Grain of Truth;Martin;Told ya.
164;1;1;A Grain of Truth;Martin;I didn't steal the bread. Korin did!
165;1;1;A Grain of Truth;Martin;Quick! Quick!
166;1;1;A Grain of Truth;Martin;Hey, shut up, you twat!
167;1;1;A Grain of Truth;Lazlo;You need to come with us.
168;1;1;A Grain of Truth;Calanthe;[woman] As your Queen, I grant you this commendation,
169;1;1;A Grain of Truth;Calanthe;which will symbolize your duty and bond as liegemen
170;1;1;A Grain of Truth;Calanthe;in fealty to the crown of Cintra.
171;1;1;A Grain of Truth;Eist;Could use with a bit of feel-ty myself right now.
172;1;1;A Grain of Truth;Ciri;Gross.
173;1;1;A Grain of Truth;Calanthe;[Queen] Do you promise to defend to your utmost the weak, the orphaned...
174;1;1;A Grain of Truth;Eist;Late wee pups don't get to bark.
175;1;1;A Grain of Truth;Ciri;I was playing in the square.
176;1;1;A Grain of Truth;Calanthe;...speak only the truth...
177;1;1;A Grain of Truth;Ciri;Knucklebones?
178;1;1;A Grain of Truth;Calanthe;...loyal and brave...
179;1;1;A Grain of Truth;Eist;Did you win this time? Like I showed you.
180;1;1;A Grain of Truth;Calanthe;...at any cost...
181;1;1;A Grain of Truth;Ciri;I would have,
182;1;1;A Grain of Truth;Ciri;if the horsemen of doom hadn't ridden up like that.
183;1;1;A Grain of Truth;Calanthe;I grant you this...
184;1;1;A Grain of Truth;Eist;If you can't win a game of knucklebones
185;1;1;A Grain of Truth;Eist;for fear of a few horses...
186;1;1;A Grain of Truth;Calanthe;...duty and bond...
187;1;1;A Grain of Truth;Calanthe;...what'll you do when you go into battle?
